,RPM_filename,PDMS #,RPM,RPM_std
0,PDMS RPM 1.CSV,1,5604.93456703177,7.3456316056712945
1,PDMS RPM 2.CSV,2,4579.164402391075,2.6158523427579574
2,PDMS RPM 3.CSV,3,4055.7777164920026,1.6689289791641477
3,PDMS RPM 4.CSV,4,3680.08382714265,1.9790524552146465
4,PDMS RPM 5.CSV,5,3203.304830338623,2.1846809237189926
5,PDMS RPM 6.CSV,6,2672.9275781108904,2.203133630459934
6,PDMS RPM 7.CSV,7,1723.4063524675441,2.004842307982035
