,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,8.544034659420932,0.23880578359721424,440,731,22
2,trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,12.453481306241981,0.3480748241781985,440,730,32
3,trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,14.156102218106993,0.39566308162734204,444,736,36
4,trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,17.32663680263291,0.4842795287814893,441,738,45
5,trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,21.058077509294986,0.5885733030253048,440,738,55
6,trans_PDMS_7.TRM,PDMS RPM 7.CSV,7,1611.4966582789264,2.238993823906532,30.804085359860792,0.8609742394064204,628,698,14
7,trans_PDMS_8.TRM,PDMS RPM 8.CSV,8,1114.3271663162914,0.8676222685549618,43.28376736466988,1.2097813731551583,572,683,35
10,trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,13.685013201851744,0.382496142803325,443,736,35
11,trans_RPM_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,11.823809215789147,0.3304754881544288,440,724,30
