,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,19-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,8.900046636797553,0.2837092382966632,445,734,21
2,19-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,12.72993715836044,0.40579571345508925,443,728,30
3,19-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,14.44885636005116,0.46059017435025795,444,730,34
4,19-09-24_alpha_trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,17.88667798085376,0.570178561157707,444,729,42
5,19-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,21.463825748705354,0.6842082859341784,440,733,52
