,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,12-09-24_trans_PDMS_1.TRM,PDMS RPM 1.CSV,1,5604.93456703177,7.3456316056712945,13.895275532114908,0.38837297530003156,440,734,36
1,12-09-24_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4579.164402391075,2.6158523427579574,17.647565515431502,0.4932494868626179,440,737,46
2,12-09-24_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,4055.7777164920026,1.6689289791641475,18.480951176468867,0.5165426175386817,525,709,26
3,12-09-24_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3680.08382714265,1.9790524552146465,21.168611302374373,0.5916627227341997,442,732,54
5,12-09-24_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2672.9275781108904,2.203133630459934,30.041661806447117,0.8396644997619112,562,652,21
