,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
8,19-09-24_alpha_trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037,16.066089290891945,0.512143153978488,442,727,38
9,19-09-24_alpha_trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,13.935347447933408,0.44422090930471014,444,733,33
10,19-09-24_alpha_trans_PDMS_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,12.097977627968127,0.3856505654217488,445,725,28
11,19-09-24_alpha_trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314,10.368387545973498,0.3305159459356731,443,739,25
