,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,11-09-24_alpha_trans_PDMS_1.TRM,PDMS RPM 1.CSV,1,5604.93456703177,7.3456316056712945,10.606729220654717,0.8513463812468556,440,740,33.0
1,11-09-24_alpha_trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4579.164402391075,2.6158523427579574,14.017547263421795,1.1251148104574948,460,687,34.0
2,11-09-24_alpha_trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,4055.7777164920026,1.6689289791641475,15.017089745060458,1.2053428295709174,493,696,30.0
3,11-09-24_alpha_trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3680.08382714265,1.9790524552146465,17.059492084554762,1.3692757258112203,443,647,41.0
4,11-09-24_alpha_trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,3203.304830338623,2.1846809237189926,22.434234456355338,1.800678034022886,533,658,27.0
5,11-09-24_alpha_trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2672.9275781108904,2.203133630459934,22.856078589950208,1.8345372444462897,554,631,17.0
